member_id,production_id,role_id
1,1,1
2,1,2
3,1,3
4,1,4
5,2,1
6,2,2
7,2,3
8,2,4
9,3,1
10,3,2
11,3,3
12,3,4
13,4,1
14,4,2
15,4,3
16,4,4
17,5,1
18,5,2
19,5,3
20,5,4
21,6,1
22,6,2
23,6,3
24,6,4
25,7,1
26,7,2
27,7,3
28,7,4
29,8,1
30,8,2
31,8,3
32,8,4
33,9,1
34,9,2
35,9,3
36,9,4
37,10,1
38,10,2
39,10,3
40,10,4
41,11,1
42,11,2
43,11,3
44,11,4
45,12,1
46,12,2
47,12,3
48,12,4
49,13,1
50,13,2
1,13,3
2,13,4
3,14,1
4,14,2
5,14,3
6,14,4
7,15,1
8,15,2
9,15,3
10,15,4
11,16,1
12,16,2
13,16,3
14,16,4
15,17,1
16,17,2
17,17,3
18,17,4
19,18,1
20,18,2
21,18,3
22,18,4
23,19,1
24,19,2
25,19,3
26,19,4
27,20,1
28,20,2
29,20,3
30,20,4
31,21,1
32,21,2
33,21,3
34,21,4
35,22,1
36,22,2
37,22,3
38,22,4
39,23,1
40,23,2
41,23,3
42,23,4
43,24,1
44,24,2
45,24,3
46,24,4
47,25,1
48,25,2
49,25,3
50,25,4
1,26,1
2,26,2
3,26,3
4,26,4
5,27,1
6,27,2
7,27,3
8,27,4
9,28,1
10,28,2
11,28,3
12,28,4
13,29,1
14,29,2
15,29,3
16,29,4
17,30,1
18,30,2
19,30,3
20,30,4
21,31,1
22,31,2
23,31,3
24,31,4
25,32,1
26,32,2
27,32,3
28,32,4
29,33,1
30,33,2
31,33,3
32,33,4
33,34,1
34,34,2
35,34,3
36,34,4
37,35,1
38,35,2
39,35,3
40,35,4
41,36,1
42,36,2
43,36,3
44,36,4
45,37,1
46,37,2
47,37,3
48,37,4
49,38,1
50,38,2
1,38,3
2,38,4
3,39,1
4,39,2
5,39,3
6,39,4
7,40,1
8,40,2
9,40,3
10,40,4
11,41,1
12,41,2
13,41,3
14,41,4
15,42,1
16,42,2
17,42,3
18,42,4
19,43,1
20,43,2
21,43,3
22,43,4
23,44,1
24,44,2
25,44,3
26,44,4
27,45,1
28,45,2
29,45,3
30,45,4
31,46,1
32,46,2
33,46,3
34,46,4
35,47,1
36,47,2
37,47,3
38,47,4
39,48,1
40,48,2
41,48,3
42,48,4
43,49,1
44,49,2
45,49,3
46,49,4
47,50,1
48,50,2
49,50,3
50,50,4
